timestamp_utc,episode,reward,score,episode_steps,average_reward,best_reward,epsilon,total_training_steps,q_entries
2026-04-30T03:57:58.2454438+00:00,51,42.1938,1200,1788,17.3457,124.6247,0.778313,68880,8298
2026-04-30T03:57:59.5315920+00:00,52,29.3319,800,1516,17.5762,124.6247,0.774421,70396,8349
2026-04-30T03:58:01.1700724+00:00,53,42.4674,1000,1933,18.0458,124.6247,0.770549,72329,8526
2026-04-30T03:58:03.0751861+00:00,54,75.1190,1500,2263,19.1027,124.6247,0.766696,74592,8727
2026-04-30T03:58:04.1356713+00:00,55,11.2369,500,1251,18.9597,124.6247,0.762863,75843,8846
2026-04-30T03:58:05.1828686+00:00,56,12.3007,500,1240,18.8408,124.6247,0.759048,77083,8892
2026-04-30T03:58:06.5239598+00:00,57,35.8588,900,1585,19.1394,124.6247,0.755253,78668,8946
2026-04-30T03:58:07.8722034+00:00,58,34.3175,900,1593,19.4011,124.6247,0.751477,80261,9101
2026-04-30T03:58:09.3652648+00:00,59,30.5424,900,1772,19.5899,124.6247,0.747720,82033,9208
2026-04-30T03:58:10.3335110+00:00,60,6.0502,300,1136,19.3642,124.6247,0.743981,83169,9311
2026-04-30T03:58:12.2886537+00:00,61,66.7927,1500,2346,20.7755,124.6247,0.740261,85515,9490
2026-04-30T03:58:14.1273629+00:00,62,68.1241,1500,2180,21.8367,124.6247,0.736560,87695,9656
2026-04-30T03:58:15.9147988+00:00,63,52.9878,1400,2114,22.6904,124.6247,0.732877,89809,9824
2026-04-30T03:58:17.8644027+00:00,64,62.6659,1300,2294,23.6568,124.6247,0.729213,92103,9982
2026-04-30T03:58:19.8998074+00:00,65,76.8690,1600,2424,25.2640,124.6247,0.725566,94527,10251
2026-04-30T03:58:21.6496887+00:00,66,67.3084,1300,2074,26.3026,124.6247,0.721939,96601,10398
2026-04-30T03:58:22.8508159+00:00,67,11.2495,500,1435,26.6692,124.6247,0.718329,98036,10443
2026-04-30T03:58:24.9649339+00:00,68,79.4605,1500,2520,27.8228,124.6247,0.714737,100556,10567
2026-04-30T03:58:25.7736100+00:00,69,-8.0146,200,934,27.8555,124.6247,0.711164,101490,10602
2026-04-30T03:58:27.6007919+00:00,70,60.3689,1300,2185,28.7732,124.6247,0.707608,103675,10703
2026-04-30T03:58:29.0886786+00:00,71,41.3552,900,1759,29.4490,124.6247,0.704070,105434,10778
2026-04-30T03:58:31.3861290+00:00,72,93.3426,1800,2728,30.1674,124.6247,0.700549,108162,10946
2026-04-30T03:58:35.0095312+00:00,73,186.8004,3400,4330,33.5432,186.8004,0.697047,112492,11257
2026-04-30T03:58:36.4297046+00:00,74,50.8526,1200,1687,34.3822,186.8004,0.693561,114179,11328
2026-04-30T03:58:38.6003646+00:00,75,79.8776,1600,2565,35.8390,186.8004,0.690094,116744,11438
2026-04-30T03:58:41.1772691+00:00,76,115.6029,2200,3058,37.6843,186.8004,0.686643,119802,11629
2026-04-30T03:58:42.6316892+00:00,77,36.0155,1000,1719,38.1085,186.8004,0.683210,121521,11699
2026-04-30T03:58:44.7438605+00:00,78,79.7572,1700,2524,39.2766,186.8004,0.679794,124045,11879
2026-04-30T03:58:46.2652938+00:00,79,49.9468,1100,1816,39.1018,186.8004,0.676395,125861,11912
2026-04-30T03:58:48.4975096+00:00,80,83.4845,1700,2662,39.9942,186.8004,0.673013,128523,12056
2026-04-30T03:58:52.1736637+00:00,81,215.4532,3600,4380,43.5151,215.4532,0.669648,132903,12315
2026-04-30T03:58:56.1047855+00:00,82,200.3024,3700,4691,46.7156,215.4532,0.666300,137594,12575
2026-04-30T03:58:58.0828058+00:00,83,82.5072,1500,2344,47.5623,215.4532,0.662968,139938,12679
2026-04-30T03:59:00.9835110+00:00,84,121.8387,2400,3437,49.7506,215.4532,0.659653,143375,12769
2026-04-30T03:59:03.2808141+00:00,85,88.3151,1800,2721,50.9495,215.4532,0.656355,146096,12985
2026-04-30T03:59:04.6460102+00:00,86,43.4480,1100,1585,51.8013,215.4532,0.653073,147681,13053
2026-04-30T03:59:06.5854301+00:00,87,77.9837,1700,2303,52.9382,215.4532,0.649808,149984,13112
2026-04-30T03:59:07.9259354+00:00,88,37.2482,1000,1594,53.2327,215.4532,0.646559,151578,13175
2026-04-30T03:59:09.1539780+00:00,89,17.5168,700,1446,53.6388,215.4532,0.643326,153024,13248
2026-04-30T03:59:10.5794060+00:00,90,40.0057,1100,1706,54.3280,215.4532,0.640109,154730,13315
2026-04-30T03:59:12.2813577+00:00,91,56.9262,1200,2025,55.6615,215.4532,0.636909,156755,13342
2026-04-30T03:59:14.2273871+00:00,92,90.2801,1700,2316,56.7411,215.4532,0.633724,159071,13388
2026-04-30T03:59:18.6800118+00:00,93,250.5936,4300,5293,60.4555,250.5936,0.630556,164364,13520
2026-04-30T03:59:21.3266466+00:00,94,121.5074,2200,3151,62.4420,250.5936,0.627403,167515,13594
2026-04-30T03:59:24.7525426+00:00,95,180.7410,3100,4085,64.8985,250.5936,0.624266,171600,13680
2026-04-30T03:59:28.2903295+00:00,96,179.0161,3100,4207,66.9795,250.5936,0.621145,175807,13785
2026-04-30T03:59:29.4205965+00:00,97,21.7699,700,1328,66.8907,250.5936,0.618039,177135,13876
2026-04-30T03:59:31.5603783+00:00,98,72.9777,1500,2534,67.4470,250.5936,0.614949,179669,13926
2026-04-30T03:59:35.5676050+00:00,99,212.9169,3700,4787,70.5867,250.5936,0.611874,184456,14005
2026-04-30T03:59:37.5337574+00:00,100,71.1837,1500,2313,72.0601,250.5936,0.608815,186769,14044
2026-04-30T03:59:40.1876216+00:00,101,121.9111,2300,3166,73.1955,250.5936,0.605771,189935,14130
2026-04-30T03:59:43.5127962+00:00,102,160.8690,3000,3954,75.4930,250.5936,0.602742,193889,14246
2026-04-30T03:59:46.6904116+00:00,103,154.0895,2800,3773,76.7731,250.5936,0.599728,197662,14355
2026-04-30T03:59:48.1734052+00:00,104,44.9217,1000,1755,77.1215,250.5936,0.596729,199417,14429
2026-04-30T03:59:49.6945514+00:00,105,47.8687,1100,1786,75.8423,250.5936,0.593746,201203,14455
2026-04-30T03:59:53.4197819+00:00,106,191.3507,3500,4440,78.3638,250.5936,0.590777,205643,14607
2026-04-30T03:59:54.9639706+00:00,107,47.2922,1100,1828,78.3150,250.5936,0.587823,207471,14676
2026-04-30T03:59:56.4778816+00:00,108,49.0720,1200,1777,79.0782,250.5936,0.584884,209248,14708
2026-04-30T03:59:59.1030297+00:00,109,130.8301,2300,3147,80.3436,250.5936,0.581959,212395,14817
2026-04-30T04:00:01.0985829+00:00,110,66.7063,1400,2355,81.1951,250.5936,0.579050,214750,14829
2026-04-30T04:00:04.4121684+00:00,111,165.0441,2900,3950,83.2427,250.5936,0.576154,218700,14917
2026-04-30T04:00:08.0597309+00:00,112,209.1104,3600,4339,86.2390,250.5936,0.573274,223039,15018
2026-04-30T04:00:13.0567124+00:00,113,279.6748,4800,5945,90.1924,279.6748,0.570407,228984,15100
2026-04-30T04:00:14.6156885+00:00,114,48.3163,1100,1853,89.7457,279.6748,0.567555,230837,15126
2026-04-30T04:00:17.6356607+00:00,115,155.3923,2800,3593,92.1483,279.6748,0.564718,234430,15166
2026-04-30T04:00:18.9392372+00:00,116,36.7216,800,1521,92.5553,279.6748,0.561894,235951,15203
2026-04-30T04:00:25.0145449+00:00,117,372.5766,6100,7256,98.1673,372.5766,0.559084,243207,15277
2026-04-30T04:00:28.2063827+00:00,118,163.9171,2900,3802,100.3273,372.5766,0.556289,247009,15337
2026-04-30T04:00:35.0087917+00:00,119,396.9685,6700,8127,106.4344,396.9685,0.553508,255136,15409
2026-04-30T04:00:37.9871135+00:00,120,153.9291,2800,3538,108.8990,396.9685,0.550740,258674,15465
2026-04-30T04:00:42.6771443+00:00,121,278.1183,4800,5588,112.4211,396.9685,0.547986,264262,15650
2026-04-30T04:00:44.0192150+00:00,122,40.3090,1100,1590,111.9575,396.9685,0.545246,265852,15662
2026-04-30T04:00:46.2047997+00:00,123,94.6911,1800,2569,112.6526,396.9685,0.542520,268421,15683
2026-04-30T04:00:49.8806302+00:00,124,219.7016,3500,4396,115.2698,396.9685,0.539808,272817,15729
2026-04-30T04:00:50.4889866+00:00,125,-8.7324,200,690,113.8432,396.9685,0.537109,273507,15734
2026-04-30T04:00:52.6919327+00:00,126,90.3736,1800,2633,114.2276,396.9685,0.534423,276140,15794
2026-04-30T04:00:55.5850356+00:00,127,155.8414,2700,3456,116.6374,396.9685,0.531751,279596,15833
2026-04-30T04:00:59.5014696+00:00,128,222.4850,3600,4650,119.0212,396.9685,0.529092,284246,15932
2026-04-30T04:01:05.4885799+00:00,129,351.4866,5700,7135,125.0129,396.9685,0.526447,291381,15963
2026-04-30T04:01:08.5625757+00:00,130,163.6971,2900,3632,126.7350,396.9685,0.523814,295013,16021
2026-04-30T04:01:15.3302543+00:00,131,429.0511,6800,8105,133.1966,429.0511,0.521195,303118,16126
2026-04-30T04:01:20.7101265+00:00,132,330.0052,5200,6378,137.1410,429.0511,0.518589,309496,16252
2026-04-30T04:01:25.7437339+00:00,133,317.1839,4900,5991,139.3140,429.0511,0.515997,315487,16301
2026-04-30T04:01:28.3086967+00:00,134,136.9854,2400,3039,140.7496,429.0511,0.513417,318526,16375
2026-04-30T04:01:31.1573951+00:00,135,144.8284,2500,3373,141.8321,429.0511,0.510849,321899,16392
2026-04-30T04:01:36.2316348+00:00,136,316.4641,5100,6026,145.1798,429.0511,0.508295,327925,16470
